what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959907550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959909032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959920536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1312959920556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959922080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959932665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1312959932671
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312959940508
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312959941854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959943179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959944249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1312959944257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959945944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959963324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959963475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959964638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312959967766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960018355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960023521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960068790
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312960071639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960075893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1312960078877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960092747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960093350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960095928
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1312960096114
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1312960096137
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312960097719
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1312960100380
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1312960101018
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312960101133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960103719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960104852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960105105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960114916
